env,model_type,max_depth,is_reweight,avg_reward,avg_time
CartPole-v1,DDQN,,,500.0,45.104177672000006
CartPole-v1,decision_tree,1,False,15.208,28.60556970015781
CartPole-v1,decision_tree,1,True,42.064,27.992759604412324
CartPole-v1,decision_tree,2,False,126.868,27.512789072106443
CartPole-v1,decision_tree,2,True,269.592,27.27924971067391
CartPole-v1,decision_tree,4,False,469.388,27.86657750091609
CartPole-v1,decision_tree,4,True,241.804,27.507925063274385
CartPole-v1,decision_tree,6,False,412.18,27.563119549711292
CartPole-v1,decision_tree,6,True,284.032,27.439736367733218
CartPole-v1,decision_tree,8,False,449.852,27.47385501009221
CartPole-v1,decision_tree,8,True,321.064,27.62236866169985
CartPole-v1,linear_tree_logistic,1,False,499.228,15.064309590006971
CartPole-v1,linear_tree_logistic,1,True,498.112,15.131043837530516
CartPole-v1,linear_tree_logistic,2,False,500.0,27.022165399999995
CartPole-v1,linear_tree_logistic,2,True,500.0,20.986896719999997
CartPole-v1,linear_tree_logistic,4,False,500.0,36.278653215999995
CartPole-v1,linear_tree_logistic,4,True,500.0,40.90659256799999
CartPole-v1,linear_tree_logistic,6,False,498.864,60.72952039834505
CartPole-v1,linear_tree_logistic,6,True,499.952,52.27235252984288
CartPole-v1,linear_tree_logistic,8,False,499.824,54.62968151989501
CartPole-v1,linear_tree_logistic,8,True,500.0,50.801001808
CartPole-v1,linear_tree_ridge,1,False,500.0,35.644037839999996
CartPole-v1,linear_tree_ridge,1,True,500.0,35.381250016
CartPole-v1,linear_tree_ridge,2,False,500.0,41.635817488
CartPole-v1,linear_tree_ridge,2,True,500.0,48.055555248
CartPole-v1,linear_tree_ridge,4,False,500.0,57.06616218400001
CartPole-v1,linear_tree_ridge,4,True,500.0,57.378420536
CartPole-v1,linear_tree_ridge,6,False,495.92,78.6722966446201
CartPole-v1,linear_tree_ridge,6,True,436.164,79.60451390761274
CartPole-v1,linear_tree_ridge,8,False,498.66,66.408712597762
CartPole-v1,linear_tree_ridge,8,True,500.0,72.075218552
LunarLander-v2,DDQN,,,255.47761687913493,47.05719162747567
LunarLander-v2,decision_tree,1,False,-111.07940953222217,29.63482849002849
LunarLander-v2,decision_tree,1,True,-148.47668347786367,29.800482784175124
LunarLander-v2,decision_tree,2,False,-40.72294462094249,29.512147812971342
LunarLander-v2,decision_tree,2,True,-49.775424701663155,29.193788834258523
LunarLander-v2,decision_tree,4,False,-101.68425932131865,29.4725930976431
LunarLander-v2,decision_tree,4,True,-57.79018918204919,29.308388904759187
LunarLander-v2,decision_tree,6,False,-73.00515920204893,29.320341450247202
LunarLander-v2,decision_tree,6,True,-92.36801009273923,29.167739962447598
LunarLander-v2,decision_tree,8,False,-16.21024289745145,29.07541244019139
LunarLander-v2,decision_tree,8,True,35.62336949307113,28.952330091218073
LunarLander-v2,linear_tree_logistic,1,False,190.45438362483907,16.08756283818927
LunarLander-v2,linear_tree_logistic,1,True,216.1313390172348,16.00739062078984
LunarLander-v2,linear_tree_logistic,2,False,170.35318815597256,28.39782854719873
LunarLander-v2,linear_tree_logistic,2,True,193.99820622729166,27.981085191011637
LunarLander-v2,linear_tree_logistic,4,False,184.55738991998837,57.77111030855916
LunarLander-v2,linear_tree_logistic,4,True,251.38412952390837,50.58495036650691
LunarLander-v2,linear_tree_logistic,6,False,223.27262172665027,49.33461809067133
LunarLander-v2,linear_tree_logistic,6,True,188.23324089693836,50.938081236427635
LunarLander-v2,linear_tree_logistic,8,False,202.0109981999608,48.71559758356637
LunarLander-v2,linear_tree_logistic,8,True,208.82737968549105,58.12875722155046
LunarLander-v2,linear_tree_ridge,1,False,219.93205099158885,37.741962213948185
LunarLander-v2,linear_tree_ridge,1,True,138.94800250751985,37.34705232255667
LunarLander-v2,linear_tree_ridge,2,False,201.53654068485258,50.45157925498832
LunarLander-v2,linear_tree_ridge,2,True,200.4862820864704,49.896988779545666
LunarLander-v2,linear_tree_ridge,4,False,215.73963013820415,72.89816480327903
LunarLander-v2,linear_tree_ridge,4,True,174.81050529466557,73.16482585920362
LunarLander-v2,linear_tree_ridge,6,False,221.61547210091837,81.38514989938454
LunarLander-v2,linear_tree_ridge,6,True,146.8271844527781,72.78554340828346
LunarLander-v2,linear_tree_ridge,8,False,187.1265581169993,80.57737528932954
LunarLander-v2,linear_tree_ridge,8,True,195.92840170552228,79.2415977710233
Taxi-v3,DDQN,,,8.04,47.471578086419754
Taxi-v3,decision_tree,1,False,-200.0,27.387772820000002
Taxi-v3,decision_tree,1,True,-200.0,27.383020100000003
Taxi-v3,decision_tree,2,False,-200.0,27.514742459999997
Taxi-v3,decision_tree,2,True,-200.0,27.490509160000002
Taxi-v3,decision_tree,4,False,-314.696,27.63261468
Taxi-v3,decision_tree,4,True,-538.328,27.52896894
Taxi-v3,decision_tree,6,False,-200.0,27.99739534
Taxi-v3,decision_tree,6,True,-206.964,27.997224341507717
Taxi-v3,decision_tree,8,False,-93.092,27.744227029585797
Taxi-v3,decision_tree,8,True,-78.884,27.683131741904987
Taxi-v3,linear_tree_logistic,1,False,-334.712,14.409915520000002
Taxi-v3,linear_tree_logistic,1,True,-405.776,14.37213798
Taxi-v3,linear_tree_logistic,2,False,7.684,25.125303995193754
Taxi-v3,linear_tree_logistic,2,True,8.142,25.22455314599878
Taxi-v3,linear_tree_logistic,4,False,7.92,45.62124587155963
Taxi-v3,linear_tree_logistic,4,True,7.876,37.70519231941481
Taxi-v3,linear_tree_logistic,6,False,-227.204,37.495327490282754
Taxi-v3,linear_tree_logistic,6,True,7.096,37.758024023154846
Taxi-v3,linear_tree_logistic,8,False,8.14,38.03783110419907
Taxi-v3,linear_tree_logistic,8,True,5.476,44.558720534311156
Taxi-v3,linear_tree_ridge,1,False,-571.448,34.39754412
Taxi-v3,linear_tree_ridge,1,True,-200.0,34.86627824000001
Taxi-v3,linear_tree_ridge,2,False,-52.152,46.501917903066264
Taxi-v3,linear_tree_ridge,2,True,-405.52,46.041906847256904
Taxi-v3,linear_tree_ridge,4,False,6.192,59.59386420765028
Taxi-v3,linear_tree_ridge,4,True,-5.876,72.93602294253841
Taxi-v3,linear_tree_ridge,6,False,-15.68,58.40101873009927
Taxi-v3,linear_tree_ridge,6,True,-81.312,59.33667817331896
Taxi-v3,linear_tree_ridge,8,False,-23.848,58.89373532052433
