env_name,model_type,max_depth,is_reweight,avg_reward,avg_time
CartPole-v1,DDQN,,,500.0,42.808231528000015
CartPole-v1,decision_tree,1,False,15.347,27.38314634782042
CartPole-v1,decision_tree,1,True,41.817,26.831457947724605
CartPole-v1,decision_tree,2,False,127.993,26.432818466634895
CartPole-v1,decision_tree,2,True,268.611,26.185332238813753
CartPole-v1,decision_tree,4,False,469.256,26.632575600525083
CartPole-v1,decision_tree,4,True,253.87,26.392103883877578
CartPole-v1,decision_tree,6,False,399.166,26.72856543392974
CartPole-v1,decision_tree,6,True,284.414,26.650983147805665
CartPole-v1,decision_tree,8,False,448.221,26.254954796852445
CartPole-v1,decision_tree,8,True,320.458,26.6837947937015
CartPole-v1,linear_tree_logistic,1,False,499.281,13.525306959407631
CartPole-v1,linear_tree_logistic,1,True,495.433,13.76291291254317
CartPole-v1,linear_tree_logistic,2,False,500.0,24.43429167
CartPole-v1,linear_tree_logistic,2,True,500.0,19.299409676000003
CartPole-v1,linear_tree_logistic,4,False,500.0,33.27001988800001
CartPole-v1,linear_tree_logistic,4,True,500.0,37.76023835
CartPole-v1,linear_tree_logistic,6,False,499.192,55.88330058574659
CartPole-v1,linear_tree_logistic,6,True,500.0,48.460406854000006
CartPole-v1,linear_tree_logistic,8,False,500.0,50.36306582400002
CartPole-v1,linear_tree_logistic,8,True,499.983,47.22120953712427
CartPole-v1,linear_tree_ridge,1,False,499.74,33.9440139932765
CartPole-v1,linear_tree_ridge,1,True,500.0,33.566142292
CartPole-v1,linear_tree_ridge,2,False,500.0,38.832968406000006
CartPole-v1,linear_tree_ridge,2,True,500.0,44.52665641199999
CartPole-v1,linear_tree_ridge,4,False,500.0,52.99692231400001
CartPole-v1,linear_tree_ridge,4,True,500.0,53.490560380000005
CartPole-v1,linear_tree_ridge,6,False,495.669,73.1275446860707
CartPole-v1,linear_tree_ridge,6,True,441.337,73.82745896446482
CartPole-v1,linear_tree_ridge,8,False,498.652,61.80783337678381
CartPole-v1,linear_tree_ridge,8,True,499.818,67.4300791508109
LunarLander-v2,DDQN,,,257.97097318498697,48.71729765696283
LunarLander-v2,decision_tree,1,False,-111.05651376923721,31.488531062553555
LunarLander-v2,decision_tree,1,True,-149.83875795903845,31.61944361996834
LunarLander-v2,decision_tree,2,False,-41.372615801974085,31.393816209899935
LunarLander-v2,decision_tree,2,True,-45.30685042387595,30.885035322258258
LunarLander-v2,decision_tree,4,False,-225.177638716059,30.79703298202562
LunarLander-v2,decision_tree,4,True,-41.69621506109333,29.71427829429447
LunarLander-v2,decision_tree,6,False,-76.34188085273364,30.548785801110917
LunarLander-v2,decision_tree,6,True,-55.64392645329243,30.62342458621597
LunarLander-v2,decision_tree,8,False,29.449678072210947,30.590556504115828
LunarLander-v2,decision_tree,8,True,44.7752907474666,30.754009318164226
