model_type,max_depth,is_reweight,avg_reward,avg_time
DDQN,,,8.0,51.38293076923077
decision_tree,10,False,-91.5,16.654200466200468
decision_tree,10,True,-2.95,16.119240174672488
linear_tree_logistic,10,False,7.75,60.78401886792452
linear_tree_logistic,10,True,7.5,66.46360740740741
linear_tree_ridge,10,False,6.95,59.67886120996442
linear_tree_ridge,10,True,8.25,67.60250588235294
decision_tree,1,False,-200.0,15.996000250000002
decision_tree,1,True,-200.0,15.9675615
decision_tree,2,False,-200.0,16.0102245
decision_tree,2,True,-200.0,15.923557250000002
decision_tree,4,False,-736.4,16.165601
decision_tree,4,True,-557.3,16.23806825
decision_tree,6,False,-290.0,16.06181
decision_tree,6,True,-200.0,15.984232749999999
decision_tree,8,False,-98.3,16.344832
decision_tree,8,True,-96.4,16.249390084190832
linear_tree_logistic,1,False,-289.1,26.9843145
linear_tree_logistic,1,True,-376.4,26.736862499999997
linear_tree_logistic,2,False,7.1,39.02302158273382
linear_tree_logistic,2,True,-3.4,39.057552462526765
linear_tree_logistic,4,False,8.0,52.407326923076916
linear_tree_logistic,4,True,8.0,59.97878076923077
linear_tree_logistic,6,False,7.1,59.513996402877694
linear_tree_logistic,6,True,8.35,59.37593675889328
linear_tree_logistic,8,False,7.15,52.23746570397111
linear_tree_logistic,8,True,8.05,66.21722393822394
linear_tree_ridge,1,False,-200.0,27.78774325
linear_tree_ridge,1,True,-200.0,27.57546525
linear_tree_ridge,2,False,-137.7,39.03958958333334
linear_tree_ridge,2,True,-117.15,39.239076861808044
linear_tree_ridge,4,False,7.8,60.89525
linear_tree_ridge,4,True,-3.3,59.196890322580636
linear_tree_ridge,6,False,-2.8,61.16070769230768
linear_tree_ridge,6,True,7.4,52.976985294117654
linear_tree_ridge,8,False,-44.2,67.64202251876563
linear_tree_ridge,8,True,-153.05,54.022135031847135
